song_name,artist,spotify_id,popularity
All For Nothing,Zachariehs,7LPM4Nipa9ANlSruXl2yon,65
DEEP IN YOUR SOUL,alan vuong,0tbar3AoobXRjfhlh7b95g,67
Run Away,Chezile,6doY5sLPHdE4g7RUQdYSz6,65
that's how it goes,Asal,5qtk6yMO0JXqtEzwEAsREF,56
Love Costs,Love Spells,7aJDtyNcnlx8a1P60uqmNn,60
Blue,Chezile,7nicn8ELgX9KaaHSS3MWxw,55
Beanie - Slowed,Chezile,0qSnORtqjEXLFKKKSy9WMc,67
Mamacita (feat. Rich Homie Quan & Young Thug),"Travis Scott, Rich Homie Quan, Young Thug",0uFz9q2SvuKyWB6Ur1YCfI,64
Stargazing,The Neighbourhood,0VF7YLIxSQKyNiFL3X6MmN,70
Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky,1j6kDJttn6wbVyMaM42Nxm,73
Residual Stress,Tzusing,41QC4JsoYNy5LwW679i6Yx,41
Dumbest Girl Alive,100 gecs,0qMZXgcLfkl5RI3q50KHMH,59
Drop That,"Nan Kolè, Prynce Mini",6au6vOpluxTcsthuIp0mZT,30
LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",6PGoSes0D9eUDeeAafB2As,83
When The Sun Goes Down,Arctic Monkeys,2zzLRQ78kKfPTx8FJQCdC2,72
Snakes,"Joey Bada$$, T'nah Apex",3dkLUA4zs07CnhchRuRV6J,58
BREATHING UNDERWATER,Hot Milk,1BcRZmZZyqZFC4c1jwdmNk,57
"Shook Ones, Pt. II",Mobb Deep,33ZXjLCpiINn8eQIDYEPTD,75
Crimewave,Crystal Castles,1xzsEmaU4IXjvxxwQlA8Lz,68
Vanished,Crystal Castles,4bQ7mjty0UVlKRalhizpGT,71
veil,"akiaura, Olya Holiday",0DEJ2X4QvFGboCAdO5MyXz,58
pussypodium - Slowed,"akiaura, LONOWN",7HIbewxNvNHNfn8QMDh6WS,71
If You Care,"akiaura, LONOWN, DJ Pointless",7xCNNGCjueh2oU9k31Cesu,64
Cameldriver,"Bahramji, Mashti",1WNmqRVQNQOQQ5VjJ9uob7,36
Run It Up,Hanumankind,3sZQ8L4aptFDJXBqdVdvO8,68
Welcome To The Jungle,Guns N' Roses,0G21yYKMZoHa30cYVi1iA8,84
Sweet Child O' Mine,Guns N' Roses,7snQQk1zcKl8gZ92AnueZW,87
"Comptine d'un autre été, l'après-midi",Yann Tiersen,3YYKrn3iGOAel605Znt3ai,0
Where You Are - Zedd Remix,"John Summit, HAYLA, Zedd",6hI3PnULFXwkOQSHLHNfOO,56
Monëy so big,Yeat,4Se3fXoHJkcraQzJXo2IYn,71
Clarity,"Zedd, Foxes",60wwxj6Dd9NJlirf84wr2c,78
Break Them In Half,"Vieze Asbak, Fantasm",4W3ceDalra9duhhBOHEmez,53
Woops - Dimitri Vegas & Junkie Kid Remix,"Dj Bountyhunter, Dimitri Vegas, Junkie Kid",3s0ddyP32ZZMCXQT70UQYJ,70
Venom,"Fantasm, INNERGATE",2gnjHaWoktMHgBzgRLK1HA,57
Buttercup With An Axe,"Fantasm, Juul Exler",4aJc3SaidQLKDSu7GII8gt,58
1400 / 999 Freestyle (feat. Juice WRLD),"Trippie Redd, Juice WRLD",0axBgt9y0GvMCLuRl2xBKG,70
Comptine d'un autre été (Amélie),Rousseau,5jbMJw424evBZyukPkZFyf,43
GIMME A HUG,Drake,5Nz7hI3cCOHmMR4vSLJ1An,74
CRYING IN CHANEL,Drake,5aIEFCKhVUM5sKkwOSdFiM,66
SOMETHING ABOUT YOU,"PARTYNEXTDOOR, Drake",1F6nHHDJyTHLgDDFj1ZZDt,75
Out thë way,Yeat,6IyoLWzljeR3ldQo4KWHT6,72
If We Being Rëal,Yeat,0YThXX1dqUpYBLyJNAsF9N,76
CN TOWER,"PARTYNEXTDOOR, Drake",4u43I0LP2Xf85OAS85eG0R,73
Stuck,Leprous,74vy9v25MuoqNVBdAjGwJC,38
I Want To Break Free - Single Remix,Queen,2AkmdLbVKS1steeZdy8H1l,73
Bohemian Rhapsody - Remastered 2011,Queen,4u7EnebtmKWzUH433cf5Qv,80
Another One Bites The Dust - Remastered 2011,Queen,5vdp5UmvTsnMEMESIF2Ym7,81
RAINING IN HOUSTON,Drake,2xxb5zW09uwbgyLprALi9E,68
DIE TRYING,"PARTYNEXTDOOR, Drake, Yebba",0NUqi0ps17YpLUC3kgsZq0,83
NOKIA,Drake,2u9S9JJ6hTZS3Vf22HOZKg,88
Alright,Kendrick Lamar,3iVcZ5G6tvkXZkZKlMpIUs,79
Not Like Us,Kendrick Lamar,6AI3ezQ4o3HUoP6Dhudph3,88
Ballad of a Badman,Tory Lanez,2PLOCIYlFr8XxNsz0Lgs4l,63
‘87 Stingray,Tory Lanez,17sPXQa8bT24ToCYHXuQXI,65
In For It,"Tory Lanez, RL Grime",6ydWxkzjDktHsTzvWcaZ1i,74
Lavender Sunflower,Tory Lanez,1au2UduxcvHfa0fZS3Szci,74
Hurts Me,"Tory Lanez, Trippie Redd, Yoko Gold",0RBw4ODUQPO4cuAOZtBGga,75
São Paulo (feat. Anitta),"The Weeknd, Anitta",7DY756WOLyOz2Xnhw4EFiC,85
Cameras / Good Ones Go Interlude - Medley,Drake,2FbGlEPAjNhWvrVvlentVq,74
Righteous Minds,Joey Bada$$,7dFGkZbmm6cVlI28bfMaWE,67
Egyptian Luvr,"Rejjie Snow, Aminé, Dana Williams",7hX6BNKMLU4O5S32srAtCC,57
BLAH,"Kota the Friend, Statik Selektah, Logic",7zsSnv9ff1GMvf0LxXHpnP,45
Killuminati,"Joey Bada$$, Capital Steez",2PxwwqB4f9x72jbw6AgR1s,54
Breakaway,"Martin Garrix, Mesto, WILHELM",3g0eHwVjGYZaHooqGtKefQ,59
John Wayne,Cigarettes After Sex,5IonbH68pmDKBwcKlyswmR,0
Fix You,Coldplay,7LVHVU3tWfcxj5aiPFEW4Q,85
I've Been Drinking,Prelow,0D6lFV63oZn0mcUHlulaoa,25
